tên_bệnh,hội_chứng,chủ_chứng,triệu_chứng,lưỡi,mạch,bài_thuốc,vị_thuốc
Hoàng đản,Âm hoàng - Tỳ hư thấp trệ,"vàng da, da vàng, vàng mắt, mắt vàng, củng mạc vàng, vàng củng mạc, vàng tươi, vàng đậm","Sắc vàng nhạt và tối xỉn kéo dài, sắc mặt vàng bủng hoặc trắng nhợt, mệt mỏi vô lực, ăn ít, bụng trướng, đại tiện nhão lỏng, chân tay rã rời, đoản hơi ngại nói, có thể phù nhẹ. Chất lưỡi nhợt bệu có hằn răng, rêu lưỡi trắng mỏng nhớp. Mạch nhu nhược hoặc trầm tế vô lực","có thể phù nhẹ. Chất lưỡi nhợt bệu có hằn răng, rêu lưỡi trắng mỏng nhớp. Mạch nhu nhược hoặc trầm tế vô lực",,Hoàng kỳ kiến trung thang (phối hợp Nhân trần),"Hoàng kỳ, Quế chi, Bạch thược, Sinh khương, Đại táo, Cam thảo (chích), Di đường (mạch nha), Nhân trần"
Hiếp thống,Can khí uất kết,"đau sườn, đau hạ sườn, đau mạng sườn, tức sườn, đau hông sườn, sườn trướng, đau liên sườn, hiếp thống","Đau tức vùng hạ sườn, đau lan di động không cố định, đau tăng khi tình chí uất ức hoặc tức giận, ngực sườn đầy tức, hay thở dài, ợ hơi, ăn kém, bụng đầy trướng. Lưỡi chất hồng nhạt, rêu lưỡi trắng mỏng. Mạch huyền","bụng đầy trướng. Lưỡi chất hồng nhạt, rêu lưỡi trắng mỏng. Mạch huyền",,Sài hồ sơ can tán,"Sài hồ, Bạch thược, Chỉ xác, Xuyên khung, Hương phụ, Trần bì, Cam thảo (chích)"
Hiếp thống,Can đởm thấp nhiệt,"đau sườn, đau hạ sườn, đau mạng sườn, tức sườn, đau hông sườn, sườn trướng, đau liên sườn, hiếp thống","Đau tức vùng hạ sườn kèm cảm giác nóng rát, miệng đắng, họng khô, ngực sườn đầy tức, buồn nôn hoặc nôn, ăn kém, chán ăn dầu mỡ, tiểu tiện vàng sẫm, có thể phát sốt, mắt và da vàng . Lưỡi chất đỏ, rêu lưỡi vàng nhớt . Mạch huyền sác hoặc huyền hoạt","mắt và da vàng . Lưỡi chất đỏ, rêu lưỡi vàng nhớt . Mạch huyền sác hoặc huyền hoạt",,Long đởm tả can thang,"Long đởm thảo, Hoàng cầm, Chi tử (Sơn chi), Trạch tả, Mộc thông, Xa tiền tử, Đương quy, Sinh địa hoàng, Sài hồ, Cam thảo"
Hiếp thống,Ứ huyết trở lạc,"đau sườn, đau hạ sườn, đau mạng sườn, tức sườn, đau hông sườn, sườn trướng, đau liên sườn, hiếp thống","Đau tức vùng hạ sườn đau như kim châm, vị trí đau cố định không di chuyển, đau tăng về đêm, ấn vào đau tăng, có thể sờ thấy khối cứng dưới sườn, sắc mặt sạm tối. Lưỡi chất tím tối hoặc có điểm ứ huyết, rêu lưỡi mỏng. Mạch huyền sáp","sắc mặt sạm tối. Lưỡi chất tím tối hoặc có điểm ứ huyết, rêu lưỡi mỏng. Mạch huyền sáp",,Huyết phủ trục ứ thang,"Đào nhân, Hồng hoa, Đương quy, Sinh địa hoàng, Xuyên khung, Xích thược, Ngưu tất, Cát cánh, Sài hồ, Chỉ xác, Cam thảo"
Hiếp thống,Can âm bất túc,"đau sườn, đau hạ sườn, đau mạng sườn, tức sườn, đau hông sườn, sườn trướng, đau liên sườn, hiếp thống","Đau tức âm ỉ vùng hạ sườn, miệng khô họng ráo, đầu choáng mắt hoa, hai mắt khô sáp, tâm phiền, ngũ tâm phiền nhiệt, có thể sốt về chiều, gò má đỏ, mất ngủ. Lưỡi chất đỏ, ít tân dịch, rêu lưỡi ít hoặc không rêu. Mạch huyền tế sác","mất ngủ. Lưỡi chất đỏ, rêu lưỡi ít hoặc không rêu. Mạch huyền tế sác",,Nhất quán tiễn,"Sa sâm (Bắc sa sâm), Mạch môn, Đương quy, Sinh địa hoàng, Câu kỷ tử, Xuyên luyện tử"
Thủy thũng,Phong thủy phiếm lạm,"phù, thũng, sưng phù, phù nề, ấn lõm, mọng nước, mắt húp, húp mặt","Phù thũng khởi phát nhanh từ mi mắt, mặt rồi lan toàn thân, chi trên rõ hơn chi dưới, ấn lõm; kèm sốt, sợ gió, đau khớp, tiểu ít. Nếu thiên phong hàn thì rêu lưỡi trắng mỏng, mạch phù khẩn; nếu thiên phong nhiệt thì họng sưng đỏ đau, rêu lưỡi vàng mỏng, mạch phù sác. Chất lưỡi hồng nhạt","tiểu ít. Nếu thiên phong hàn thì rêu lưỡi trắng mỏng, rêu lưỡi vàng mỏng, mạch phù sác. Chất lưỡi hồng nhạt","mạch phù khẩn; nếu thiên phong nhiệt thì họng sưng đỏ đau, mạch phù sác. Chất lưỡi hồng nhạt",Việt tỳ gia truật thang (thiên phong hàn); Ma hoàng liên kiều xích tiểu đậu thang (thiên phong nhiệt),"Ma hoàng, Thạch cao, Bạch truật, Sinh khương, Đại táo, Cam thảo, Liên kiều, Xích tiểu đậu, Tang bạch bì, Hạnh nhân"
Thủy thũng,Thấp độc xâm dâm,"phù, thũng, sưng phù, phù nề, ấn lõm, mọng nước, mắt húp, húp mặt","Phù thũng toàn thân, ấn lõm; trên da đầu mặt hoặc tay chân nổi mụn nhọt, lở loét, đinh sang hoặc thấp chẩn, có khi mưng mủ; tiểu ít, sắc vàng đục, kèm sốt nhẹ, mệt mỏi. Chất lưỡi đỏ, rêu lưỡi vàng nhớt, mạch phù sác hoặc hoạt sác","mệt mỏi. Chất lưỡi đỏ, rêu lưỡi vàng nhớt",mạch phù sác hoặc hoạt sác,Ma hoàng liên kiều xích tiểu đậu thang hợp Ngũ vị tiêu độc ẩm,"Ma hoàng, Liên kiều, Xích tiểu đậu, Tang bạch bì, Hạnh nhân, Sinh khương, Đại táo, Cam thảo, Kim ngân hoa, Dã cúc hoa, Bồ công anh, Tử hoa địa đinh, Tử bối thiên quỳ"
Thủy thũng,Thủy thấp tẩm tý,"phù, thũng, sưng phù, phù nề, ấn lõm, mọng nước, mắt húp, húp mặt","Phù thũng toàn thân, chi dưới nặng hơn, ấn lõm lâu không nổi, kéo dài dai dẳng; người nặng nề mệt mỏi, ngực bụng đầy tức, tiểu tiện ít, không khát hoặc khát mà không muốn uống. Chất lưỡi bệu, rêu lưỡi trắng nhớt, mạch trầm hoãn hoặc trầm hoạt","không khát hoặc khát mà không muốn uống. Chất lưỡi bệu, rêu lưỡi trắng nhớt",mạch trầm hoãn hoặc trầm hoạt,Ngũ bì ẩm hợp Vị linh thang,"Tang bạch bì, Trần bì, Sinh khương bì, Đại phúc bì, Phục linh bì, Thương truật, Hậu phác, Bạch truật, Trư linh, Trạch tả, Phục linh, Quế chi, Cam thảo"
Thủy thũng,Thấp nhiệt ung thịnh,"phù, thũng, sưng phù, phù nề, ấn lõm, mọng nước, mắt húp, húp mặt","Phù thũng toàn thân, da căng bóng, ngực bụng đầy trướng, bí bách khó chịu; phiền nhiệt khát nước, tiểu tiện ngắn đỏ hoặc bí tiểu, đại tiện táo kết. Chất lưỡi đỏ, rêu lưỡi vàng nhớt, mạch trầm sác hoặc nhu sác","đại tiện táo kết. Chất lưỡi đỏ, rêu lưỡi vàng nhớt",mạch trầm sác hoặc nhu sác,Sơ tạc ẩm tử hợp Ngũ bì ẩm,"Khương hoạt, Tần giao, Khương hoàng, Xích tiểu đậu, Phục linh, Trạch tả, Trư linh, Mộc thông, Tiêu mục, Đại phúc bì, Binh lang, Thương truật, Trần bì, Tang bạch bì, Sinh khương bì"
Thủy thũng,Tỳ dương hư suy,"phù, thũng, sưng phù, phù nề, ấn lõm, mọng nước, mắt húp, húp mặt","Phù thũng kéo dài, thắt lưng trở xuống phù nặng hơn, ấn lõm khó phục hồi; sắc mặt vàng bủng hoặc trắng bệch, người mệt mỏi, tay chân lạnh, ăn kém, bụng đầy trướng, đại tiện lỏng nát, tiểu tiện ít. Chất lưỡi nhợt bệu có hằn răng, rêu lưỡi trắng nhớt hoặc trắng trơn, mạch trầm hoãn hoặc trầm nhược vô lực","tiểu tiện ít. Chất lưỡi nhợt bệu có hằn răng, rêu lưỡi trắng nhớt hoặc trắng trơn",mạch trầm hoãn hoặc trầm nhược vô lực,Thực tỳ ẩm,"Phụ tử chế, Can khương, Bạch truật, Phục linh, Mộc qua, Hậu phác, Mộc hương, Thảo quả nhân, Đại phúc bì, Binh lang, Cam thảo, Sinh khương, Đại táo"
Thủy thũng,Thận dương suy vi,"phù, thũng, sưng phù, phù nề, ấn lõm, mọng nước, mắt húp, húp mặt","Phù thũng lâu ngày tái phát, phù nặng từ thắt lưng trở xuống, ấn lõm sâu lâu phục hồi, có thể kèm cổ trướng; sắc mặt xám tối hoặc trắng bệch, sợ lạnh chi lạnh, lưng gối mỏi lạnh, tinh thần mệt mỏi, tiểu tiện ít, có thể hồi hộp khó thở. Chất lưỡi nhợt bệu, rêu lưỡi trắng, mạch trầm tế vô lực hoặc trầm trì","có thể hồi hộp khó thở. Chất lưỡi nhợt bệu, rêu lưỡi trắng",mạch trầm tế vô lực hoặc trầm trì,Tế sinh thận khí hoàn hợp Chân vũ thang,"Phụ tử chế, Nhục quế, Thục địa, Sơn thù du, Hoài sơn, Trạch tả, Phục linh, Đơn bì, Xa tiền tử, Ngưu tất, Bạch truật, Bạch thược, Sinh khương"
Long bế,Bàng quang thấp nhiệt,"tiểu, tiểu tiện, đi tiểu, bí tiểu, tiểu bí, bí đái, đái, nước tiểu","Tiểu tiện bí, lượng nước tiểu ít, nhỏ giọt không thông hoặc bí không đi được, nước tiểu vàng đỏ nóng rát, bụng dưới trướng đầy, miệng đắng dính, khát nhưng không muốn uống, đại tiện táo. Lưỡi đỏ, rêu vàng nhớt, mạch sác hoặc nhu sác","đại tiện táo. Lưỡi đỏ, rêu vàng nhớt",mạch sác hoặc nhu sác,Bát chính tán,"Mộc thông, Cù mạch, Biển súc, Xa tiền tử, Hoạt thạch, Chi tử (Sơn chi), Chích cam thảo, Đại hoàng, Đăng tâm thảo"
Long bế,Phế nhiệt ủng thịnh,"tiểu, tiểu tiện, đi tiểu, bí tiểu, tiểu bí, bí đái, đái, nước tiểu","Tiểu tiện bí không thông hoặc nhỏ giọt không dứt, họng khô, phiền khát muốn uống, hô hấp ngắn gấp hoặc ho khạc đờm, đại tiện táo kết. Lưỡi đỏ, rêu vàng mỏng, mạch sác","đại tiện táo kết. Lưỡi đỏ, rêu vàng mỏng",mạch sác,Thanh phế ẩm,"Hoàng cầm, Tang bạch bì, Mạch môn, Chi tử (Sơn chi), Mộc thông, Xa tiền tử, Phục linh"
Long bế,Can uất khí trệ,"tiểu, tiểu tiện, đi tiểu, bí tiểu, tiểu bí, bí đái, đái, nước tiểu","Tiểu tiện không thông hoặc thông mà không thông suốt, tình chí uất ức hoặc dễ cáu giận, bụng dưới và hai bên sườn trướng đầy, hay thở dài. Lưỡi đỏ, rêu vàng mỏng, mạch huyền","hay thở dài. Lưỡi đỏ, rêu vàng mỏng",mạch huyền,Trầm hương tán,"Trầm hương, Thạch vĩ, Hoạt thạch, Vương bất lưu hành, Đương quy, Quất bì, Bạch thược, Đông quỳ tử, Cam thảo"
Long bế,Trọc ứ trở tắc,"tiểu, tiểu tiện, đi tiểu, bí tiểu, tiểu bí, bí đái, đái, nước tiểu","Tiểu tiện nhỏ giọt không thông, hoặc bí tắc không đi được, nước tiểu ra như đường chỉ nhỏ, bụng dưới trướng đầy đau tức. Lưỡi tím tối hoặc có điểm ứ huyết, rêu trắng hoặc vàng, mạch sáp","bụng dưới trướng đầy đau tức. Lưỡi tím tối hoặc có điểm ứ huyết, rêu trắng hoặc vàng",mạch sáp,Đại để đương hoàn,"Đại hoàng, Manh trùng, Thủy điệt, Đào nhân, Sinh địa, Nhục quế, Xuyên sơn giáp, Mang tiêu"
Long bế,Tỳ khí bất thăng,"tiểu, tiểu tiện, đi tiểu, bí tiểu, tiểu bí, bí đái, đái, nước tiểu","Tiểu tiện muốn đi mà đi không được, hoặc lượng nước tiểu ít không thông suốt, bụng dưới trướng nặng sa xuống, tinh thần mệt mỏi, ăn kém, hơi thở ngắn, sắc mặt trắng bệch. Lưỡi nhạt, rêu trắng mỏng, mạch tế nhược","sắc mặt trắng bệch. Lưỡi nhạt, rêu trắng mỏng",mạch tế nhược,Bổ trung ích khí thang hợp Xuân trạch thang,"Hoàng kỳ, Đảng sâm, Bạch truật, Chích cam thảo, Đương quy, Trần bì, Thăng ma, Sài hồ, Phục linh, Trạch tả, Trư linh, Quế chi"
Long bế,Thận dương suy nhược,"tiểu, tiểu tiện, đi tiểu, bí tiểu, tiểu bí, bí đái, đái, nước tiểu","Tiểu tiện không thông hoặc nhỏ giọt không dứt, bài xuất vô lực, sắc mặt trắng bệch, tinh thần uể oải, sợ lạnh, lưng gối lạnh mỏi vô lực. Lưỡi nhạt bệu, rêu trắng, mạch trầm tế vô lực","lưng gối lạnh mỏi vô lực. Lưỡi nhạt bệu, rêu trắng",mạch trầm tế vô lực,Tế sinh thận khí hoàn,"Thục địa, Sơn thù, Hoài sơn, Trạch tả, Phục linh, Đơn bì, Nhục quế, Phụ tử chế, Ngưu tất, Xa tiền tử"
Lâm chứng,Nhiệt lâm,,"Tiểu nhiều lần, tiểu gấp, tiểu buốt rát, nước tiểu vàng đục hoặc đỏ, lượng ít, đau tức vùng bụng dưới và thắt lưng, có thể sốt, miệng đắng, họng khô. Chất lưỡi đỏ, rêu lưỡi vàng nhớt; mạch sác hoặc hoạt sác","họng khô. Chất lưỡi đỏ, rêu lưỡi vàng nhớt; mạch sác hoặc hoạt sác",,Bát chính tán,"Cù mạch, Biển súc, Xa tiền tử, Hoạt thạch, Chi tử (Sơn chi), Cam thảo (Chích cam thảo), Mộc thông, Đại hoàng, Đăng tâm thảo"
Lâm chứng,Thạch lâm,,"Tiểu ra sạn sỏi, tiểu khó, tiểu buốt, dòng tiểu đột ngột gián đoạn, đau quặn vùng thắt lưng bụng dưới lan xuống bộ phận sinh dục, nước tiểu vàng đục hoặc lẫn máu. Chất lưỡi đỏ, rêu lưỡi vàng nhớt; mạch huyền sác hoặc huyền khẩn","nước tiểu vàng đục hoặc lẫn máu. Chất lưỡi đỏ, rêu lưỡi vàng nhớt; mạch huyền sác hoặc huyền khẩn",,Thạch vĩ tán,"Thạch vĩ, Đông quỳ tử, Cù mạch, Hoạt thạch, Xa tiền tử, Kim tiền thảo, Hải kim sa, Kê nội kim, Cam thảo"
Lâm chứng,Khí lâm,,"Thể thực: tiểu khó, tiểu không thông, tiểu nhỏ giọt, tức trướng đau vùng bụng dưới và mạng sườn, tinh thần uất ức; chất lưỡi hồng, rêu mỏng, mạch huyền. Thể hư: tiểu són không dứt, bụng dưới trệ trướng, tiểu xong vẫn buồn tiểu, mệt mỏi đoản hơi; chất lưỡi nhạt, mạch tế nhược","tinh thần uất ức; chất lưỡi hồng, rêu mỏng, mệt mỏi đoản hơi; chất lưỡi nhạt","mạch huyền. Thể hư: tiểu són không dứt, mạch tế nhược",Trầm hương tán (thể thực); Bổ trung ích khí thang (thể hư),"Thể thực (Trầm hương tán): Trầm hương, Thạch vĩ, Hoạt thạch, Đương quy, Bạch thược, Trần bì, Đông quỳ tử, Vương bất lưu hành, Cam thảo. Thể hư (Bổ trung ích khí thang): Hoàng kỳ, Nhân sâm, Bạch truật, Chích cam thảo, Đương quy, Trần bì, Thăng ma, Sài hồ"
Lâm chứng,Huyết lâm,,"Tiểu ra máu, nước tiểu đỏ hồng hoặc lẫn máu cục, tiểu buốt rát đau, bụng dưới đau tức. Thể thực: chất lưỡi đỏ, rêu vàng, mạch hoạt sác. Thể hư : tiểu ra máu tái đi tái lại kèm sốt về chiều, lòng bàn tay chân nóng, lưng gối mỏi yếu; chất lưỡi đỏ ít rêu, mạch tế sác","bụng dưới đau tức. Thể thực: chất lưỡi đỏ, rêu vàng, lưng gối mỏi yếu; chất lưỡi đỏ ít rêu","mạch hoạt sác. Thể hư : tiểu ra máu tái đi tái lại kèm sốt về chiều, mạch tế sác",Tiểu kế ẩm tử (thể thực); Tri bá địa hoàng hoàn (thể âm hư),"Thể thực (Tiểu kế ẩm tử): Tiểu kế, Sinh địa hoàng, Bồ hoàng, Ngẫu tiết, Hoạt thạch, Mộc thông, Đạm trúc diệp, Chi tử, Đương quy, Chích cam thảo. Thể âm hư (Tri bá địa hoàng hoàn): Tri mẫu, Hoàng bá, Thục địa, Sơn thù du, Hoài sơn (Sơn dược), Trạch tả, Đơn bì (Mẫu đơn bì), Phục linh"
Lâm chứng,Cao lâm,,"Nước tiểu đục như nước vo gạo hoặc như mỡ/cao, tiểu buốt bí, có thể lẫn máu hoặc chất nhầy. Thể thực: chất lưỡi đỏ, rêu vàng nhớt, mạch nhu sác hoặc hoạt sác. Thể hư: tiểu đục kéo dài, gầy sút, lưng gối yếu mỏi, đầu váng tai ù; chất lưỡi nhạt, rêu trắng, mạch tế nhược","có thể lẫn máu hoặc chất nhầy. Thể thực: chất lưỡi đỏ, rêu vàng nhớt, đầu váng tai ù; chất lưỡi nhạt, rêu trắng","mạch nhu sác hoặc hoạt sác. Thể hư: tiểu đục kéo dài, mạch tế nhược",Trình thị tỳ giải phân thanh ẩm (thể thực); Cao lâm thang / Vô tỷ sơn dược hoàn (thể hư),"Thể thực (Trình thị tỳ giải phân thanh ẩm): Tỳ giải, Xa tiền tử, Phục linh, Bạch truật, Liên tử tâm, Đan sâm, Xương bồ (Thạch xương bồ), Hoàng bá. Thể hư (Cao lâm thang): Sơn dược (Hoài sơn), Khiếm thực, Long cốt, Mẫu lệ, Bạch thược, Đảng sâm, Sinh địa hoàng"
Lâm chứng,Lao lâm,,"Tiểu són nhỏ giọt không dứt, tiểu không thông sướng, bệnh dây dưa kéo dài, gặp mệt nhọc hoặc lao lực thì phát nặng, sắc mặt vàng bủng, tinh thần mệt mỏi, lưng gối mỏi yếu. Chất lưỡi nhạt, rêu trắng mỏng; mạch tế nhược","lưng gối mỏi yếu. Chất lưỡi nhạt, rêu trắng mỏng; mạch tế nhược",,Vô tỷ sơn dược hoàn,"Sơn dược (Hoài sơn), Nhục thung dung, Thục địa, Sơn thù du, Phục thần, Thỏ ty tử, Ngũ vị tử, Xích thạch chi, Ba kích thiên, Trạch tả, Đỗ trọng, Ngưu tất"
Tích tụ,Can khí uất trệ,,"Bụng đầy trướng, trong bụng có khối tụ lúc tan lúc tụ, đau di chuyển không cố định, sờ vào chưa thành khối rắn, đau tức vùng bụng và mạng sườn, ợ hơi, tinh thần uất ức hoặc dễ cáu gắt, các chứng tăng lên khi tình chí không thoải mái, ăn kém; chất lưỡi hồng nhạt, rêu lưỡi trắng mỏng; mạch Huyền","ăn kém; chất lưỡi hồng nhạt, rêu lưỡi trắng mỏng; mạch Huyền",,Sài hồ sơ can tán gia giảm,"Sài hồ, Hương phụ, Chỉ xác, Trần bì, Xuyên khung, Bạch thược, Chích cam thảo. (Đầy trướng nhiều gia Hậu phác, Mộc hương; ợ hơi nhiều gia Toàn phúc hoa, Đại giả thạch)"
Tích tụ,Thực trệ đàm trở,,"Trong bụng có khối tụ trướng đau, tụ tán không chừng, bụng đầy trướng khó chịu, ợ hơi ợ chua, nôn hoặc buồn nôn, đại tiện không thông sướng, ăn uống đình trệ kém tiêu, lồng ngực bĩ tức; chất lưỡi hồng, rêu lưỡi trắng nhớt ; mạch Huyền Hoạt","lồng ngực bĩ tức; chất lưỡi hồng, rêu lưỡi trắng nhớt ; mạch Huyền Hoạt",,Lục ma thang gia giảm,"Mộc hương, Ô dược, Trầm hương, Đại hoàng, Binh lang (Đại phúc bì), Chỉ thực. (Thực tích nặng gia Sơn tra, Lục khúc, Lai phục tử; đàm thấp thịnh gia Bán hạ, Trần bì, Phục linh)"
Tích tụ,Khí trệ huyết ứ,,"Trong bụng có khối tích đã thành hình, sờ được khối cứng, vị trí cố định không di chuyển, đau tức hoặc đau nhói vùng khối, bụng mạng sườn trướng đau, sắc mặt tối xạm, người gầy dần, ăn kém; chất lưỡi tím hoặc có điểm ứ huyết, rêu lưỡi mỏng; mạch Huyền hoặc Sáp","ăn kém; chất lưỡi tím hoặc có điểm ứ huyết, rêu lưỡi mỏng; mạch Huyền hoặc Sáp",,Sài hồ sơ can tán hợp Thất tiêu tán gia giảm,"Sài hồ, Hương phụ, Chỉ xác, Xuyên khung, Bạch thược, Trần bì, Chích cam thảo, Ngũ linh chi, Bồ hoàng, Đương quy, Đào nhân, Hồng hoa. (Đau nhiều gia Nguyên hồ, Uất kim)"
Tích tụ,Ứ huyết nội kết,,"Khối tích trong bụng ngày càng to và cứng rắn, ấn vào đau cố định, sắc mặt xám tối kém tươi, gầy sút, ăn uống giảm sút, mệt mỏi, có thể có thời kỳ sốt về chiều, phụ nữ có thể kinh nguyệt không đều hoặc bế kinh; chất lưỡi tím tối hoặc có ban điểm ứ huyết, rêu lưỡi mỏng; mạch Tế Sáp","phụ nữ có thể kinh nguyệt không đều hoặc bế kinh; chất lưỡi tím tối hoặc có ban điểm ứ huyết, rêu lưỡi mỏng; mạch Tế Sáp",,Cách hạ trục ứ thang gia giảm,"Đương quy, Xuyên khung, Đào nhân, Hồng hoa, Xích thược, Ngũ linh chi, Đan bì, Ô dược, Nguyên hồ (Diên hồ sách), Hương phụ, Chỉ xác, Cam thảo. (Kèm khí hư gia Đảng sâm, Hoàng kỳ, Bạch truật; khối rắn gia Tam lăng, Nga truật, Mẫu lệ, Miết giáp)"
Tích tụ,Chính hư ứ kết,,"Bệnh lâu ngày khối tích cứng rắn, đau tức không dứt, sắc mặt vàng úa hoặc xám sạm, cơ nhục gầy mòn róc, mệt mỏi vô lực, ăn ít, đoản hơi, có khi sốt nhẹ, sắc môi nhợt, phụ nữ kinh bế; chất lưỡi tím nhạt hoặc nhợt bệu có vết ứ huyết, rêu lưỡi ít; mạch Tế Sáp hoặc Hư mà vô lực","phụ nữ kinh bế; chất lưỡi tím nhạt hoặc nhợt bệu có vết ứ huyết, rêu lưỡi ít; mạch Tế Sáp hoặc Hư mà vô lực",,Bát trân thang hợp Hóa tích hoàn gia giảm,"Đảng sâm, Bạch truật, Phục linh, Chích cam thảo, Đương quy, Xuyên khung, Bạch thược, Thục địa, Tam lăng, Nga truật, Miết giáp (nướng), Mẫu lệ, A ngùy, Hải phù thạch. (Âm hư gia Sa sâm, Sinh địa, Kỷ tử; dương hư gia Phụ tử, Nhục quế)"
Nuy chứng,Phế nhiệt tân thương,"teo cơ, teo, liệt, yếu chi, chi yếu, tay chân yếu, chân tay yếu, yếu hai chân","Khởi bệnh sau khi sốt cao, hoặc trong lúc sốt thấy chân tay mềm yếu không cử động được; da khô nóng, tâm phiền khát nước, họng khô, ho khan ít đờm, tiểu vàng ít, đại tiện táo. Chất lưỡi đỏ, rêu lưỡi vàng, mạch tế sác","đại tiện táo. Chất lưỡi đỏ, rêu lưỡi vàng",mạch tế sác,Thanh táo cứu phế thang,"Tang diệp, Thạch cao, Cam thảo, Nhân sâm (hoặc Đảng sâm), A giao, Mạch môn, Hạnh nhân, Tỳ bà diệp, Hồ ma nhân (Mè đen)"
Nuy chứng,Thấp nhiệt xâm dâm,"teo cơ, teo, liệt, yếu chi, chi yếu, tay chân yếu, chân tay yếu, yếu hai chân","Tay chân mềm yếu, nặng nề, đặc biệt chi dưới yếu rõ, kèm cảm giác tê nóng, hoặc phù nhẹ; ngực bụng đầy tức, tiểu vàng đỏ nóng rít, thân thể nặng nề mệt mỏi, phát sốt về chiều. Chất lưỡi đỏ, rêu lưỡi vàng nhớt, mạch nhu sác hoặc hoạt sác","phát sốt về chiều. Chất lưỡi đỏ, rêu lưỡi vàng nhớt",mạch nhu sác hoặc hoạt sác,Gia vị nhị diệu tán,"Hoàng bá, Thương truật, Ngưu tất, Tỳ giải, Phòng kỷ, Đương quy, Quy bản, Ý dĩ nhân"
Nuy chứng,Tỳ vị hư nhược,"teo cơ, teo, liệt, yếu chi, chi yếu, tay chân yếu, chân tay yếu, yếu hai chân","Chân tay mềm yếu vô lực, teo cơ dần dần, hoạt động càng lúc càng kém; ăn kém, bụng đầy, đại tiện lỏng nát, sắc mặt vàng úa không tươi, mệt mỏi đoản hơi, gầy sút. Chất lưỡi nhợt, rêu lưỡi trắng mỏng, mạch tế nhược","gầy sút. Chất lưỡi nhợt, rêu lưỡi trắng mỏng",mạch tế nhược,Sâm linh bạch truật tán (phối hợp Bổ trung ích khí thang),"Nhân sâm (Đảng sâm), Bạch truật, Phục linh, Cam thảo, Sơn dược, Biển đậu, Liên nhục, Ý dĩ nhân, Sa nhân, Cát cánh, Đại táo"
Nuy chứng,Can thận khuy hư,"teo cơ, teo, liệt, yếu chi, chi yếu, tay chân yếu, chân tay yếu, yếu hai chân","Bệnh lâu ngày, chân tay mềm yếu teo cơ, cân cốt yếu, lưng gối mỏi đau ê ẩm, đứng đi khó khăn; kèm chóng mặt ù tai, di tinh hoạt tinh hoặc kinh nguyệt không đều, triều nhiệt ra mồ hôi trộm, ngũ tâm phiền nhiệt. Chất lưỡi đỏ ít rêu, mạch tế sác",ngũ tâm phiền nhiệt. Chất lưỡi đỏ ít rêu,mạch tế sác,Hổ tiềm hoàn,"Hoàng bá, Tri mẫu, Thục địa, Quy bản, Bạch thược, Tỏa dương, Trần bì, Hổ cốt (nay thay bằng Cẩu cốt/Ngưu tất), Can khương"
Nuy chứng,Mạch lạc ứ trở,"teo cơ, teo, liệt, yếu chi, chi yếu, tay chân yếu, chân tay yếu, yếu hai chân","Chân tay mềm yếu teo cơ đã lâu, tê dại không có cảm giác hoặc kém cảm giác, cơ bắp co rút cứng, da sạm tối, có thể đau nhức cố định một chỗ; sắc mặt tối xám. Chất lưỡi tím tối hoặc có điểm ứ huyết, rêu lưỡi mỏng, mạch tế sáp","có thể đau nhức cố định một chỗ; sắc mặt tối xám. Chất lưỡi tím tối hoặc có điểm ứ huyết, rêu lưỡi mỏng",mạch tế sáp,Bổ dương hoàn ngũ thang (gia vị),"Hoàng kỳ, Đương quy vĩ, Xích thược, Địa long, Xuyên khung, Đào nhân, Hồng hoa, Ngưu tất, Kê huyết đằng"
Nội thương phát nhiệt,Âm hư phát nhiệt,"sốt, phát nhiệt, phát sốt, triều nhiệt, cốt chưng, ngũ tâm phiền nhiệt, nóng trong, sốt về chiều","Sốt về chiều hoặc đêm, ngũ tâm phiền nhiệt, cốt chưng triều nhiệt, mồ hôi trộm, miệng khô họng ráo, hai gò má đỏ, tâm phiền mất ngủ, đại tiện táo, nước tiểu vàng ít. Lưỡi đỏ, ít rêu hoặc không rêu, có thể lưỡi nứt; mạch tế sác","nước tiểu vàng ít. Lưỡi đỏ, ít rêu hoặc không rêu, có thể lưỡi nứt; mạch tế sác",,Thanh cốt tán,"Ngân sài hồ, Hồ hoàng liên, Tần giao, Miết giáp, Địa cốt bì, Thanh hao, Tri mẫu, Cam thảo"
Nội thương phát nhiệt,Huyết hư phát nhiệt,"sốt, phát nhiệt, phát sốt, triều nhiệt, cốt chưng, ngũ tâm phiền nhiệt, nóng trong, sốt về chiều","Sốt nhẹ, đầu váng mắt hoa, sắc mặt trắng bệch hoặc vàng úa không tươi, môi lưỡi nhợt, hồi hộp trống ngực, mệt mỏi vô lực, thần sắc kém, phụ nữ kinh nguyệt lượng ít sắc nhạt. Lưỡi nhợt, rêu trắng mỏng; mạch tế nhược hoặc hư sác vô lực","môi lưỡi nhợt, phụ nữ kinh nguyệt lượng ít sắc nhạt. Lưỡi nhợt, rêu trắng mỏng; mạch tế nhược hoặc hư sác vô lực",,Quy tỳ thang,"Bạch truật, Đương quy, Bạch phục linh, Hoàng kỳ (chích), Long nhãn nhục, Viễn chí, Toan táo nhân (sao), Nhân sâm, Mộc hương, Cam thảo (chích), Sinh khương, Đại táo"
